nombre,apellido,dni,sector,email
omar,calixto,34567609,4,omar@gamil.com
julian,martin,34567325,3,juliam@gamil.com
valentin,gutierrez,34587765,2,valen_45@gamil.com
josefina,alvarez,34567365,4,jose_fina@gamil.com
juan,perez,34512765,3,atr_juan@gamil.com
vicente,canizzo,34554765,2,vicente23@gamil.com
julieta,villegas,34787765,1,villa_juli@gamil.com
floerencia,steiner,34117765,1,flooor_mza@gamil.com
aneley,massa,34567711,3,ane_bonita@gamil.com
fernanda,chimeno,34567700,5,ferchu_04@gamil.com
jose,ortuvia,34567755,1,ortu-jose@gamil.com
ana,gimenez,34567722,4,gimenita@gamil.com
gabriela,transito,34567555,3,semaforoactivo@gamil.com
maximiliano,alba,34567360,1,elgordonoduerme@gamil.com
daniela,quiroga,35567761,1,bombona@gamil.com
belen,rojas,36567765,5,rojas_moras@gamil.com
paola,garrido,38544322,5,garrido_full@gamil.com
estefania,suarez,33567476,3,tefi89@gamil.com
sofia,ormeno,22435690,3,flocloremax@gamil.com
